airport_code,timezone,airport_name_en,city_en,latitude,longitude
YKS,Asia/Yakutsk,Yakutsk Airport,Yakutsk,129.77099609375,62.093299865722656
MJZ,Asia/Yakutsk,Mirny Airport,Mirnyj,114.03900146484375,62.534698486328125
KHV,Asia/Vladivostok,Khabarovsk-Novy Airport,Khabarovsk,135.18800354004,48.52799987793
PKC,Asia/Kamchatka,Yelizovo Airport,Petropavlovsk,158.45399475097656,53.16790008544922
UUS,Asia/Sakhalin,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,142.71800231933594,46.88869857788086
VVO,Asia/Vladivostok,Vladivostok International Airport,Vladivostok,132.1479949951172,43.39899826049805
LED,Europe/Moscow,Pulkovo Airport,St. Petersburg,30.262500762939453,59.80030059814453
KGD,Europe/Kaliningrad,Khrabrovo Airport,Kaliningrad,20.592599868774414,54.88999938964844
KEJ,Asia/Novokuznetsk,Kemerovo Airport,Kemorovo,86.1072006225586,55.27009963989258
CEK,Asia/Yekaterinburg,Chelyabinsk Balandino Airport,Chelyabinsk,61.5033,55.305801
MQF,Asia/Yekaterinburg,Magnitogorsk International Airport,Magnetiogorsk,58.755699157714844,53.39310073852539
PEE,Asia/Yekaterinburg,Bolshoye Savino Airport,Perm,56.021198272705,57.914501190186
SGC,Asia/Yekaterinburg,Surgut Airport,Surgut,73.40180206298828,61.34370040893555
BZK,Europe/Moscow,Bryansk Airport,Bryansk,34.176399231,53.214199066199996
MRV,Europe/Moscow,Mineralnyye Vody Airport,Mineralnye Vody,43.08190155029297,44.225101470947266
STW,Europe/Moscow,Stavropol Shpakovskoye Airport,Stavropol,42.11280059814453,45.10919952392578
ASF,Europe/Samara,Astrakhan Airport,Astrakhan,48.0063018799,46.2832984924
NJC,Asia/Yekaterinburg,Nizhnevartovsk Airport,Nizhnevartovsk,76.48359680175781,60.94929885864258
SVX,Asia/Yekaterinburg,Koltsovo Airport,Yekaterinburg,60.802700042725,56.743099212646
SVO,Europe/Moscow,Sheremetyevo International Airport,Moscow,37.4146,55.972599
VOZ,Europe/Moscow,Voronezh International Airport,Voronezh,39.22959899902344,51.81420135498047
VKO,Europe/Moscow,Vnukovo International Airport,Moscow,37.2615013123,55.5914993286
SCW,Europe/Moscow,Syktyvkar Airport,Syktyvkar,50.84510040283203,61.64699935913086
KUF,Europe/Samara,Kurumoch International Airport,Samara,50.16429901123,53.504901885986
DME,Europe/Moscow,Domodedovo International Airport,Moscow,37.90629959106445,55.40879821777344
TJM,Asia/Yekaterinburg,Roshchino International Airport,Tyumen,65.3243026733,57.189601898199996
GOJ,Europe/Moscow,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,43.784000396729,56.230098724365
TOF,Asia/Krasnoyarsk,Bogashevo Airport,Tomsk,85.208297729492,56.380298614502
UIK,Asia/Irkutsk,Ust-Ilimsk Airport,Ust Ilimsk,102.56500244140625,58.13610076904297
NSK,Asia/Krasnoyarsk,Norilsk-Alykel Airport,Norilsk,87.33219909667969,69.31109619140625
ARH,Europe/Moscow,Talagi Airport,Arkhangelsk,40.71670150756836,64.60030364990234
